Rnd,DrAV,DrAV,DrAV,DrAV,DrAV
1,3.0,11.0,23.0,44.0,88.5
2,0.0,4.0,13.0,27.0,62.0
3,0.0,1.0,6.0,17.0,51.0
4,0.0,0.0,4.0,12.0,40.0
5,0.0,0.0,1.0,7.0,31.0
6,0.0,0.0,0.0,4.0,23.0
7,0.0,0.0,0.0,2.0,21.0
8,0.0,0.0,0.0,2.0,25.700000000000045
9,0.0,0.0,0.0,1.0,16.0
10,0.0,0.0,0.0,0.0,17.0
11,0.0,0.0,0.0,0.0,14.0
12,0.0,0.0,0.0,0.0,13.75
13,0.0,0.0,0.0,0.0,9.0
14,0.0,0.0,0.0,0.0,8.899999999999977
15,0.0,0.0,0.0,0.0,5.949999999999989
16,0.0,0.0,0.0,0.0,3.9499999999999886
17,0.0,0.0,0.0,0.0,5.5
